id,document_id,name,stage_number,start_location,end_location,distance_km,elevation_gain,elevation_loss,difficulty,description,estimated_time,created_at,updated_at,published_at,created_by_id,updated_by_id,locale
1,hcba83fipfoev5f1n3y1rdpq,Les Houches - Les Contamines,1,Les Houches,Les Contamines,16.00,646.00,633.00,Moderate,"[{'type': 'paragraph', 'children': [{'text': 'The journey begins in the Chamonix valley at Les Houches. This initial stage serves as a good warm-up for the days ahead. The trail ascends via the Col de Voza, offering the first stunning panoramas of the Mont Blanc range. Trekkers can opt to take the Bellevue cable car to ease into the trek. The path then descends through forests and meadows, passing the impressive Bionnassay glacier and its suspension bridge, before arriving in the picturesque village of Les Contamines-Montjoie.', 'type': 'text'}]}]",4 to 5 hours,2025-09-29 11:24:18.550000,2025-09-29 11:30:52.940000,,1,1,
3,wxgyqpmnhmp09doc64dgrpl5,Les Contamines - Les Chapieux,2,Les Contamines,Les Chapieux,18.00,1316.00,929.00,Hard,"[{'type': 'paragraph', 'children': [{'text': 'This is a challenging and rewarding day of high-altitude trekking. The route follows an old Roman road past the beautiful church of Notre-Dame de la Gorge. A steep climb leads to the Col du Bonhomme and then onwards to the Croix du Bonhomme, where a refuge provides a welcome stop. The landscape becomes wilder and more remote as the trail descends into the secluded valley of Les Chapieux, a small hamlet with limited amenities.', 'type': 'text'}]}]",7 to 8 hours,2025-09-29 11:30:36.512000,2025-09-29 11:30:36.512000,,1,1,
4,wxgyqpmnhmp09doc64dgrpl5,Les Contamines - Les Chapieux,2,Les Contamines,Les Chapieux,18.00,1316.00,929.00,Hard,"[{'type': 'paragraph', 'children': [{'text': 'This is a challenging and rewarding day of high-altitude trekking. The route follows an old Roman road past the beautiful church of Notre-Dame de la Gorge. A steep climb leads to the Col du Bonhomme and then onwards to the Croix du Bonhomme, where a refuge provides a welcome stop. The landscape becomes wilder and more remote as the trail descends into the secluded valley of Les Chapieux, a small hamlet with limited amenities.', 'type': 'text'}]}]",7 to 8 hours,2025-09-29 11:30:36.512000,2025-09-29 11:30:36.512000,2025-09-29 11:30:36.522000,1,1,
5,hcba83fipfoev5f1n3y1rdpq,Les Houches - Les Contamines,1,Les Houches,Les Contamines,16.00,646.00,633.00,Moderate,"[{'type': 'paragraph', 'children': [{'text': 'The journey begins in the Chamonix valley at Les Houches. This initial stage serves as a good warm-up for the days ahead. The trail ascends via the Col de Voza, offering the first stunning panoramas of the Mont Blanc range. Trekkers can opt to take the Bellevue cable car to ease into the trek. The path then descends through forests and meadows, passing the impressive Bionnassay glacier and its suspension bridge, before arriving in the picturesque village of Les Contamines-Montjoie.', 'type': 'text'}]}]",4 to 5 hours,2025-09-29 11:24:18.550000,2025-09-29 11:30:52.940000,2025-09-29 11:30:52.952000,1,1,
6,olmw3qhdciski3za8b7z6s8i,Les Chapieux to Rifugio Elisabetta,3,Les Chapieux,Rifugio Elisabetta,15.00,1004.00,258.00,Moderate,"[{'type': 'paragraph', 'children': [{'text': 'Leaving France, this stage crosses into Italy over the Col de la Seigne. The ascent offers dramatic views back into the Vallée des Glaciers and opens up to a spectacular panorama of the Italian side of the Mont Blanc massif, including the Aiguille Noire de Peuterey and the Brenva Glacier. The descent leads to the Val Veni and the historic Rifugio Elisabetta Soldini, perched impressively at the foot of the Glacier de la Lée Blanche.', 'type': 'text'}]}]",5 to 6 hours,2025-09-29 11:31:38.299000,2025-09-29 11:31:38.299000,,1,1,
7,olmw3qhdciski3za8b7z6s8i,Les Chapieux to Rifugio Elisabetta,3,Les Chapieux,Rifugio Elisabetta,15.00,1004.00,258.00,Moderate,"[{'type': 'paragraph', 'children': [{'text': 'Leaving France, this stage crosses into Italy over the Col de la Seigne. The ascent offers dramatic views back into the Vallée des Glaciers and opens up to a spectacular panorama of the Italian side of the Mont Blanc massif, including the Aiguille Noire de Peuterey and the Brenva Glacier. The descent leads to the Val Veni and the historic Rifugio Elisabetta Soldini, perched impressively at the foot of the Glacier de la Lée Blanche.', 'type': 'text'}]}]",5 to 6 hours,2025-09-29 11:31:38.299000,2025-09-29 11:31:38.299000,2025-09-29 11:31:38.306000,1,1,
8,ko7fuzk9kgbpp3eczz43cwen,Rifugio Elisabetta to Courmayeur,4,Rifugio Elisabetta,Courmayeur,18.00,460.00,1560.00,Moderate,"[{'type': 'paragraph', 'children': [{'text': 'This stage offers a more leisurely day with a significant amount of descent. The trail follows the beautiful and relatively flat Val Veni, with constant, stunning views of Mont Blanc. The path passes by the vibrant blue Lac Combal before a final ascent to the ski area of Col Chécrouit. From here, a long and steep descent leads to the charming and bustling Italian alpine town of Courmayeur, known for its excellent food and vibrant atmosphere.', 'type': 'text'}]}]",5 to 6 hours,2025-09-29 11:32:17.222000,2025-09-29 11:32:17.222000,,1,1,
9,ko7fuzk9kgbpp3eczz43cwen,Rifugio Elisabetta to Courmayeur,4,Rifugio Elisabetta,Courmayeur,18.00,460.00,1560.00,Moderate,"[{'type': 'paragraph', 'children': [{'text': 'This stage offers a more leisurely day with a significant amount of descent. The trail follows the beautiful and relatively flat Val Veni, with constant, stunning views of Mont Blanc. The path passes by the vibrant blue Lac Combal before a final ascent to the ski area of Col Chécrouit. From here, a long and steep descent leads to the charming and bustling Italian alpine town of Courmayeur, known for its excellent food and vibrant atmosphere.', 'type': 'text'}]}]",5 to 6 hours,2025-09-29 11:32:17.222000,2025-09-29 11:32:17.222000,2025-09-29 11:32:17.237000,1,1,
10,l6s9cn6hx7u7f3gtagy65wtw,Courmayeur to Rifugio Bonatti,5,Courmayeur,Rifugio Bonatti,12.00,860.00,101.00,Moderate,"[{'type': 'paragraph', 'children': [{'text': 'After a steep climb out of Courmayeur to the Refuge Bertone, this stage becomes a spectacular balcony walk with some of the most iconic views of the entire TMB. The trail contours high above the Italian Val Ferret, offering uninterrupted panoramas of the Grandes Jorasses and the dramatic southern face of the Mont Blanc massif. The day concludes at the renowned Rifugio Bonatti, named after the famous Italian mountaineer Walter Bonatti.', 'type': 'text'}]}]",4 to 5 hours,2025-09-29 11:32:57.697000,2025-09-29 11:32:57.697000,,1,1,
11,l6s9cn6hx7u7f3gtagy65wtw,Courmayeur to Rifugio Bonatti,5,Courmayeur,Rifugio Bonatti,12.00,860.00,101.00,Moderate,"[{'type': 'paragraph', 'children': [{'text': 'After a steep climb out of Courmayeur to the Refuge Bertone, this stage becomes a spectacular balcony walk with some of the most iconic views of the entire TMB. The trail contours high above the Italian Val Ferret, offering uninterrupted panoramas of the Grandes Jorasses and the dramatic southern face of the Mont Blanc massif. The day concludes at the renowned Rifugio Bonatti, named after the famous Italian mountaineer Walter Bonatti.', 'type': 'text'}]}]",4 to 5 hours,2025-09-29 11:32:57.697000,2025-09-29 11:32:57.697000,2025-09-29 11:32:57.708000,1,1,
12,zilkv6ozyleuw8etiztujrk7,Rifugio Bonatti to La Fouly,6,Rifugio Bonatti,La Fouly,20.00,895.00,1410.00,Hard,"[{'type': 'paragraph', 'children': [{'text': 'This long stage involves crossing the Grand Col Ferret, which marks the border between Italy and Switzerland. The ascent to the col is gradual and offers incredible retrospective views of the Italian Val Ferret. From the pass, the landscape transforms into the gentler, pastoral scenery of the Swiss Val Ferret. A long and steady descent through alpine meadows and past traditional Swiss farms leads to the peaceful village of La Fouly.', 'type': 'text'}]}]",6 to 7 hours,2025-09-29 11:33:42.275000,2025-09-29 11:33:42.275000,,1,1,
13,zilkv6ozyleuw8etiztujrk7,Rifugio Bonatti to La Fouly,6,Rifugio Bonatti,La Fouly,20.00,895.00,1410.00,Hard,"[{'type': 'paragraph', 'children': [{'text': 'This long stage involves crossing the Grand Col Ferret, which marks the border between Italy and Switzerland. The ascent to the col is gradual and offers incredible retrospective views of the Italian Val Ferret. From the pass, the landscape transforms into the gentler, pastoral scenery of the Swiss Val Ferret. A long and steady descent through alpine meadows and past traditional Swiss farms leads to the peaceful village of La Fouly.', 'type': 'text'}]}]",6 to 7 hours,2025-09-29 11:33:42.275000,2025-09-29 11:33:42.275000,2025-09-29 11:33:42.284000,1,1,
14,w9m1kpnxldi28ofsc4nzrb6w,La Fouly to Champex-Lac,7,La Fouly,Champex-Lac,15.00,420.00,565.00,Easy,"[{'type': 'paragraph', 'children': [{'text': 'Considered one of the easiest stages of the TMB, this day offers a pleasant and mostly flat walk through the picturesque Swiss Val Ferret. The trail meanders alongside the Dranse de Ferret river, passing through charming hamlets with traditional wooden chalets. The final section involves a gentle climb through the forest to the idyllic lakeside town of Champex-Lac, a perfect spot to rest and recuperate.', 'type': 'text'}]}]",4 to 5 hours,2025-09-29 11:34:19.963000,2025-09-29 11:34:19.963000,,1,1,
