id,document_id,name,type,location_type,latitude,longitude,website,phone,email,price_range,capacity,altitude,notes,booking_method,description,booking_difficulty,created_at,updated_at,published_at,created_by_id,updated_by_id,locale
1,s1vad6xl103dq7g7uhaewwa8,Gîte Michel Fagot,B&B,On-trail,45.89,6.80,https://www.gite-fagot.com/,+33 (0)4.50.54.42.28,info@gite-fagot.com,€45-65,36,1000,,Email,,,2025-09-29 11:48:49.794000,2025-10-26 23:16:44.389000,,1,1,
4,rf4v9m847ou79d9vo8cidlg7,Les Campanules,Hotel,Near-trail,45.90,6.80,https://www.hotel-campanules.com/en/,+ 33 (0)4 50 54 40 71,,€130-160,43,1000,,Online Portal,,,2025-09-29 11:55:01.389000,2025-10-18 09:15:30.591000,,1,1,
6,nhityn9u9qitu4m6rrzoka59,Refuge Du Fioux,Refuge,On-trail,45.87,6.76,, +33 4 50 93 52 43,c.botholier@gmail.com,€60,24,1505,,Phone,,,2025-09-29 11:59:20.173000,2025-10-18 18:02:25.677000,,1,1,
8,qfl8zhqmexdiepobuaaxaswp,Chalets Du Champel,B&B,On-trail,45.86,6.74,https://www.chaletsduchampel.com/,+33689993222,jacquet.didier@wanadoo.fr,€350,8,1200,,,,,2025-09-29 15:25:22.078000,2025-10-18 18:05:02.520000,,1,1,
10,ka0d4395gecqytqtbnidhsyi,Auberge de Bionnassay,Refuge,On-trail,45.87,6.76,https://www.auberge-bionnassay.com/,+33(0)4 50 93 45 23.,contact@auberge-bionnassay.com,€35-65,45,1320,,Phone,,,2025-09-29 15:28:13.588000,2025-10-18 18:01:19.884000,,1,1,
14,aj8b7p4v5k5oby8l7kellead,Refuge Miage,Refuge,Near-trail,45.84,6.76,https://www.refugemiage.com/,04 50 93 22 91,refugedemiage@orange.fr,€70-90,,,,Phone,,,2025-09-29 15:34:44.176000,2025-10-18 18:06:32.586000,,1,1,
17,klehoo8uhqskasck9um3ghg6,Auberge du Truc,Refuge,On-trail,45.84,6.75,,04 50 93 12 48,,€25-42,28,,,Email,,,2025-09-29 15:38:00.865000,2025-10-18 18:08:13.547000,,1,1,
19,qfbgo2h1s4e155kninebpvzi,Hotel La Gelinotte,Hotel,Near-trail,45.83,6.72,https://www.hotel-lagelinotte.net/,04 50 47 01 61,lagelinotte@free.fr,€80-200,28,1164,,Email,,,2025-09-29 15:47:07.898000,2025-10-18 18:10:05.658000,,1,1,
21,ka82x9zha98rmfs7v2gw2s8i,Chalet Hotel Gai Soleil,Hotel,Near-trail,45.82,6.73,https://www.gaisoleil.com/,+33450470294,contact@gaisoleil.com,€60-200,38,,,,,,2025-09-29 15:51:16.708000,2025-09-29 15:56:01.177000,,1,1,
23,koqvshz6xdwf24bpltekuwwh,Hotel Le Christiania,Hotel,On-trail,45.82,6.73,https://www.lechristiania-hotel.com/en/,+33450470272,,€80,,,,Online Portal,,,2025-09-29 15:55:25.046000,2025-09-29 15:55:25.046000,,1,1,
24,koqvshz6xdwf24bpltekuwwh,Hotel Le Christiania,Hotel,On-trail,45.82,6.73,https://www.lechristiania-hotel.com/en/,+33450470272,,€80,,,,Online Portal,,,2025-09-29 15:55:25.046000,2025-09-29 15:55:25.046000,2025-09-29 15:55:25.087000,1,1,
26,ka82x9zha98rmfs7v2gw2s8i,Chalet Hotel Gai Soleil,Hotel,Near-trail,45.82,6.73,https://www.gaisoleil.com/,+33450470294,contact@gaisoleil.com,€60-200,38,,,,,,2025-09-29 15:51:16.708000,2025-09-29 15:56:01.177000,2025-09-29 15:56:01.207000,1,1,
28,tob3atjqu2tf3u1r0i57ipkq,Chalet Hôtel La Chemenaz,Hotel,On-trail,45.81,6.73,https://www.chemenaz.com/en,+33450470244,info@chemenaz.com,€190-320,40,1156,,Online Portal,,,2025-09-29 16:00:51.375000,2025-09-29 16:00:51.375000,,1,1,
29,tob3atjqu2tf3u1r0i57ipkq,Chalet Hôtel La Chemenaz,Hotel,On-trail,45.81,6.73,https://www.chemenaz.com/en,+33450470244,info@chemenaz.com,€190-320,40,1156,,Online Portal,,,2025-09-29 16:00:51.375000,2025-09-29 16:00:51.375000,2025-09-29 16:00:51.404000,1,1,
30,ahc4fh0h68sqreg4o8z04aa0,Chalet des Contamines,Refuge,On-trail,45.82,6.72,https://chaletdescontamines.ffcam.fr/home.html,+33450470088,,€60,20,,,Online Portal,,,2025-09-29 16:09:21.439000,2025-09-29 16:09:34.572000,,1,1,
32,ahc4fh0h68sqreg4o8z04aa0,Chalet des Contamines,Refuge,On-trail,45.82,6.72,https://chaletdescontamines.ffcam.fr/home.html,+33450470088,,€60,20,,,Online Portal,,,2025-09-29 16:09:21.439000,2025-09-29 16:09:34.572000,2025-09-29 16:09:34.595000,1,1,
33,s7uprzsx81baui8o1j0qjxcc,Camping Le Pontet,Campsite,On-trail,45.80,6.72,https://www.campinglepontet.fr/,+33(0)4 50 47 04 04,,€5-20,140,,,Online Portal,,Easy,2025-09-29 16:16:39.144000,2025-09-29 16:16:39.144000,,1,1,
34,s7uprzsx81baui8o1j0qjxcc,Camping Le Pontet,Campsite,On-trail,45.80,6.72,https://www.campinglepontet.fr/,+33(0)4 50 47 04 04,,€5-20,140,,,Online Portal,,Easy,2025-09-29 16:16:39.144000,2025-09-29 16:16:39.144000,2025-09-29 16:16:39.176000,1,1,
35,vjyfilmyjloupldhw7f53tf3,Gîte Le Pontet,Refuge,On-trail,45.80,6.72,https://www.campinglepontet.fr/,+33(0)4 50 47 04 04,,€50,37,,,Online Portal,,Easy,2025-09-29 16:18:06.181000,2025-09-29 16:21:14.966000,,1,1,
36,vjyfilmyjloupldhw7f53tf3,Gîte Le Pontet,Refuge,On-trail,45.80,6.72,https://www.campinglepontet.fr/,+33(0)4 50 47 04 04,,€50,37,,,Online Portal,,Easy,2025-09-29 16:18:06.181000,2025-09-29 16:21:14.966000,2025-09-29 16:21:14.986000,1,1,
