id,entity_id,cmp_id,component_type,field,order
1,4,1,accommodation.service,Accommodation_Service,1.0
2,4,2,accommodation.service,Accommodation_Service,2.0
3,4,3,accommodation.service,Accommodation_Service,3.0
4,4,4,accommodation.service,Accommodation_Service,4.0
9,6,9,accommodation.service,Accommodation_Service,1.0
10,6,10,accommodation.service,Accommodation_Service,2.0
11,6,11,accommodation.service,Accommodation_Service,3.0
12,6,12,accommodation.service,Accommodation_Service,4.0
17,8,17,accommodation.service,Accommodation_Service,1.0
18,8,18,accommodation.service,Accommodation_Service,2.0
19,8,19,accommodation.service,Accommodation_Service,3.0
23,10,23,accommodation.service,Accommodation_Service,1.0
41,14,33,accommodation.service,Accommodation_Service,1.0
45,19,36,accommodation.service,Accommodation_Service,1.0
46,19,37,accommodation.service,Accommodation_Service,2.0
47,19,38,accommodation.service,Accommodation_Service,3.0
48,19,39,accommodation.service,Accommodation_Service,4.0
49,19,40,accommodation.service,Accommodation_Service,5.0
50,19,41,accommodation.service,Accommodation_Service,6.0
51,19,42,accommodation.service,Accommodation_Service,7.0
59,21,50,accommodation.service,Accommodation_Service,1.0
60,21,51,accommodation.service,Accommodation_Service,2.0
61,21,52,accommodation.service,Accommodation_Service,3.0
62,21,53,accommodation.service,Accommodation_Service,4.0
63,21,54,accommodation.service,Accommodation_Service,5.0
69,23,60,accommodation.service,Accommodation_Service,1.0
70,23,61,accommodation.service,Accommodation_Service,2.0
71,24,62,accommodation.service,Accommodation_Service,1.0
72,24,63,accommodation.service,Accommodation_Service,2.0
84,26,67,accommodation.service,Accommodation_Service,1.0
85,26,68,accommodation.service,Accommodation_Service,2.0
86,26,69,accommodation.service,Accommodation_Service,3.0
87,26,70,accommodation.service,Accommodation_Service,4.0
88,26,71,accommodation.service,Accommodation_Service,5.0
91,28,73,accommodation.service,Accommodation_Service,1.0
92,28,74,accommodation.service,Accommodation_Service,2.0
93,28,75,accommodation.service,Accommodation_Service,3.0
94,29,76,accommodation.service,Accommodation_Service,1.0
95,29,77,accommodation.service,Accommodation_Service,2.0
96,29,78,accommodation.service,Accommodation_Service,3.0
97,33,79,accommodation.service,Accommodation_Service,1.0
98,33,80,accommodation.service,Accommodation_Service,2.0
99,33,81,accommodation.service,Accommodation_Service,3.0
100,33,82,accommodation.service,Accommodation_Service,4.0
101,34,83,accommodation.service,Accommodation_Service,1.0
102,34,84,accommodation.service,Accommodation_Service,2.0
103,34,85,accommodation.service,Accommodation_Service,3.0
104,34,86,accommodation.service,Accommodation_Service,4.0
109,35,91,accommodation.service,Accommodation_Service,1.0
110,35,92,accommodation.service,Accommodation_Service,2.0
111,36,93,accommodation.service,Accommodation_Service,1.0
112,36,94,accommodation.service,Accommodation_Service,2.0
113,44,95,accommodation.service,Accommodation_Service,1.0
115,43,97,accommodation.service,Accommodation_Service,1.0
116,43,98,accommodation.service,Accommodation_Service,2.0
125,45,107,accommodation.service,Accommodation_Service,1.0
126,45,108,accommodation.service,Accommodation_Service,2.0
127,45,109,accommodation.service,Accommodation_Service,3.0
131,42,113,accommodation.service,Accommodation_Service,1.0
132,42,114,accommodation.service,Accommodation_Service,2.0
142,52,119,accommodation.service,Accommodation_Service,1.0
143,52,120,accommodation.service,Accommodation_Service,2.0
144,52,121,accommodation.service,Accommodation_Service,3.0
145,39,122,accommodation.service,Accommodation_Service,1.0
146,39,123,accommodation.service,Accommodation_Service,2.0
147,39,124,accommodation.service,Accommodation_Service,3.0
148,53,125,accommodation.service,Accommodation_Service,1.0
149,53,126,accommodation.service,Accommodation_Service,2.0
150,53,127,accommodation.service,Accommodation_Service,3.0
153,54,128,accommodation.service,Accommodation_Service,1.0
154,54,129,accommodation.service,Accommodation_Service,2.0
155,55,130,accommodation.service,Accommodation_Service,1.0
156,56,131,accommodation.service,Accommodation_Service,1.0
157,57,132,accommodation.service,Accommodation_Service,1.0
158,58,133,accommodation.service,Accommodation_Service,1.0
159,40,134,accommodation.service,Accommodation_Service,1.0
160,40,135,accommodation.service,Accommodation_Service,2.0
161,59,136,accommodation.service,Accommodation_Service,1.0
162,59,137,accommodation.service,Accommodation_Service,2.0
163,37,138,accommodation.service,Accommodation_Service,1.0
164,37,139,accommodation.service,Accommodation_Service,2.0
165,37,140,accommodation.service,Accommodation_Service,3.0
166,60,141,accommodation.service,Accommodation_Service,1.0
167,60,142,accommodation.service,Accommodation_Service,2.0
168,60,143,accommodation.service,Accommodation_Service,3.0
169,41,144,accommodation.service,Accommodation_Service,1.0
171,62,146,accommodation.service,Accommodation_Service,1.0
172,62,147,accommodation.service,Accommodation_Service,2.0
173,63,148,accommodation.service,Accommodation_Service,1.0
174,63,149,accommodation.service,Accommodation_Service,2.0
