id,tmbaccommodation_id,tmb_stage_id
1,1,1
4,4,1
6,10,1
8,6,1
12,17,1
14,19,1
16,23,1
17,24,5
18,8,1
20,21,1
21,26,5
22,14,1
24,28,1
25,29,5
26,30,1
28,32,5
29,33,1
30,34,5
31,35,1
32,36,5
33,37,3
35,39,3
36,40,3
38,42,3
39,43,3
40,44,3
41,45,3
48,52,4
49,53,4
50,54,4
51,55,3
52,56,4
53,57,3
54,58,4
55,59,4
56,60,4
58,62,3
59,63,4
60,41,6
62,65,8
63,67,8
64,68,8
65,69,8
66,70,8
67,71,5
70,74,5
71,75,5
72,76,5
73,77,5
74,78,5
75,79,5
76,80,10
77,81,10
78,82,10
79,83,12
80,84,12
81,85,12
82,86,12
83,88,12
84,89,12
85,90,12
86,91,14
87,92,14
88,93,14
89,94,16
90,95,16
91,96,16
92,97,16
93,98,16
94,99,18
95,100,18
96,101,18
97,102,18
98,103,18
99,104,18
100,105,18
101,106,20
102,107,20
103,108,22
104,109,14
105,66,8
106,87,12
107,110,12
108,111,14
109,112,14
110,113,14
111,114,14
112,115,14
113,116,14
114,117,14
115,118,14
116,119,14
118,121,20
120,123,20
121,124,20
124,127,22
125,128,8
126,129,8
127,130,8
128,131,8
129,132,8
130,133,8
136,139,13
137,140,19
138,141,13
139,142,15
140,143,15
142,145,9
143,146,13
144,147,21
145,148,17
146,149,15
147,150,4
148,151,4
149,152,7
150,154,9
152,156,17
153,157,17
154,153,6
155,158,15
156,159,23
157,160,13
158,161,13
159,162,19
160,163,9
161,164,9
162,165,7
163,166,19
165,168,13
166,169,9
167,170,21
168,171,15
169,172,13
170,173,9
171,174,17
172,175,15
173,176,9
174,177,9
175,178,9
176,179,19
177,180,15
178,181,9
179,182,9
180,183,15
181,184,15
182,185,15
183,186,21
185,188,9
186,189,21
187,190,17
188,191,21
190,193,15
192,195,19
193,196,15
195,198,13
196,199,13
197,200,19
198,201,11
199,202,11
200,203,11
201,204,19
204,207,5
