id,document_id,name,created_at,updated_at,published_at,created_by_id,updated_by_id,locale
1,bcf2nvz55nj1wsp9su484y6i,France,2025-07-23 21:04:59.114000,2025-07-23 21:04:59.114000,,1,1,
2,bcf2nvz55nj1wsp9su484y6i,France,2025-07-23 21:04:59.114000,2025-07-23 21:04:59.114000,2025-07-23 21:04:59.128000,1,1,
3,kcw7itd9uysj8dfn7rn8gker,Italy,2025-07-23 21:06:10.938000,2025-07-23 21:06:10.938000,,1,1,
4,kcw7itd9uysj8dfn7rn8gker,Italy,2025-07-23 21:06:10.938000,2025-07-23 21:06:10.938000,2025-07-23 21:06:10.949000,1,1,
5,f66fl3f6oh610g3rbts0z0zz,Switzerland,2025-07-23 21:06:24.957000,2025-07-23 21:06:24.957000,,1,1,
6,f66fl3f6oh610g3rbts0z0zz,Switzerland,2025-07-23 21:06:24.957000,2025-07-23 21:06:24.957000,2025-07-23 21:06:24.969000,1,1,
7,c24mylb38124g88fres87wof,Spain,2025-07-23 21:27:31.789000,2025-07-23 21:27:31.789000,,1,1,
8,c24mylb38124g88fres87wof,Spain,2025-07-23 21:27:31.789000,2025-07-23 21:27:31.789000,2025-07-23 21:27:31.807000,1,1,
9,pmxybqrpdyk2lyrn84a6n1cr,Peru,2025-07-25 14:43:58.457000,2025-07-25 14:43:58.457000,,1,1,
10,pmxybqrpdyk2lyrn84a6n1cr,Peru,2025-07-25 14:43:58.457000,2025-07-25 14:43:58.457000,2025-07-25 14:43:58.463000,1,1,
11,w5ihkjll5lrdawixy07qbv51,Andorra,2025-07-25 20:02:54.357000,2025-07-25 20:02:54.357000,,1,1,
12,w5ihkjll5lrdawixy07qbv51,Andorra,2025-07-25 20:02:54.357000,2025-07-25 20:02:54.357000,2025-07-25 20:02:54.377000,1,1,
13,b2uq2fdecdkz2lebiv9ho09b,Nepal,2025-07-25 21:36:34.981000,2025-07-25 21:36:34.981000,,1,1,
14,b2uq2fdecdkz2lebiv9ho09b,Nepal,2025-07-25 21:36:34.981000,2025-07-25 21:36:34.981000,2025-07-25 21:36:35.001000,1,1,
15,sbyrrf6p3ig9ie2m3xp8rtr1,United Kingdom,2025-07-25 21:50:32.813000,2025-07-25 21:50:32.813000,,1,1,
16,sbyrrf6p3ig9ie2m3xp8rtr1,United Kingdom,2025-07-25 21:50:32.813000,2025-07-25 21:50:32.813000,2025-07-25 21:50:32.824000,1,1,
17,xoknbz7cfd10k5hocm0qq5v0,Portugal,2025-07-25 22:28:24.650000,2025-07-25 22:28:24.650000,,1,1,
18,xoknbz7cfd10k5hocm0qq5v0,Portugal,2025-07-25 22:28:24.650000,2025-07-25 22:28:24.650000,2025-07-25 22:28:24.669000,1,1,
19,vomczzs5noat24olkxvt849o,Germany ,2025-07-25 22:44:27.087000,2025-07-25 22:44:27.087000,,1,1,
20,vomczzs5noat24olkxvt849o,Germany ,2025-07-25 22:44:27.087000,2025-07-25 22:44:27.087000,2025-07-25 22:44:27.096000,1,1,
21,uyfk3kyi2tvl8x1vt1oxj96p,Sweden,2025-07-26 07:51:08.602000,2025-07-26 07:51:08.602000,,1,1,
22,uyfk3kyi2tvl8x1vt1oxj96p,Sweden,2025-07-26 07:51:08.602000,2025-07-26 07:51:08.602000,2025-07-26 07:51:08.620000,1,1,
23,drrp6p7d2xsozq55e5c5sroa,Albania,2025-07-26 14:38:24.670000,2025-07-26 14:38:24.670000,,1,1,
24,drrp6p7d2xsozq55e5c5sroa,Albania,2025-07-26 14:38:24.670000,2025-07-26 14:38:24.670000,2025-07-26 14:38:24.689000,1,1,
25,asszrijl81zxolmem9n7np3d,Kosovo,2025-07-26 14:38:41.658000,2025-07-26 14:38:41.658000,,1,1,
26,asszrijl81zxolmem9n7np3d,Kosovo,2025-07-26 14:38:41.658000,2025-07-26 14:38:41.658000,2025-07-26 14:38:41.677000,1,1,
27,eemdpatvq26jx72mo0ha4els,Montenegro,2025-07-26 14:39:02.603000,2025-07-26 14:39:02.603000,,1,1,
28,eemdpatvq26jx72mo0ha4els,Montenegro,2025-07-26 14:39:02.603000,2025-07-26 14:39:02.603000,2025-07-26 14:39:02.613000,1,1,
