id,document_id,scenery_type,created_at,updated_at,published_at,created_by_id,updated_by_id,locale
1,hz8l829j0ozai3z8h35uvh0e,Coastal,2025-07-23 21:14:31.285000,2025-07-23 21:14:31.285000,,1,1,
2,hz8l829j0ozai3z8h35uvh0e,Coastal,2025-07-23 21:14:31.285000,2025-07-23 21:14:31.285000,2025-07-23 21:14:31.298000,1,1,
3,grt853dd25xrobkytc4ruq9e,Mountain,2025-07-23 21:14:36.712000,2025-07-23 21:14:36.712000,,1,1,
4,grt853dd25xrobkytc4ruq9e,Mountain,2025-07-23 21:14:36.712000,2025-07-23 21:14:36.712000,2025-07-23 21:14:36.728000,1,1,
5,rbiq1p0h9yjdbve01xeqsukm,Forest,2025-07-23 21:14:41.421000,2025-07-23 21:14:41.421000,,1,1,
6,rbiq1p0h9yjdbve01xeqsukm,Forest,2025-07-23 21:14:41.421000,2025-07-23 21:14:41.421000,2025-07-23 21:14:41.430000,1,1,
7,phryq94ph1x9ml3xyz2uxg21,Canyon,2025-07-23 21:14:51.897000,2025-07-23 21:14:51.897000,,1,1,
8,phryq94ph1x9ml3xyz2uxg21,Canyon,2025-07-23 21:14:51.897000,2025-07-23 21:14:51.897000,2025-07-23 21:14:51.908000,1,1,
9,rfwv9hhxg04gpv2mjomo7k8e,Glacier,2025-07-23 21:14:57.744000,2025-07-23 21:14:57.744000,,1,1,
10,rfwv9hhxg04gpv2mjomo7k8e,Glacier,2025-07-23 21:14:57.744000,2025-07-23 21:14:57.744000,2025-07-23 21:14:57.753000,1,1,
11,lt865faew29i8f64tmsaek8v,Desert,2025-07-23 21:15:03.467000,2025-07-23 21:15:03.467000,,1,1,
12,lt865faew29i8f64tmsaek8v,Desert,2025-07-23 21:15:03.467000,2025-07-23 21:15:03.467000,2025-07-23 21:15:03.476000,1,1,
13,a44x08l021gpfulaw5c9fjf1,Volcanic,2025-07-23 21:15:08.088000,2025-07-23 21:15:08.088000,,1,1,
14,a44x08l021gpfulaw5c9fjf1,Volcanic,2025-07-23 21:15:08.088000,2025-07-23 21:15:08.088000,2025-07-23 21:15:08.096000,1,1,
15,yc2ke47c1dcltfruzutvsxse,Ridgeline,2025-07-23 21:15:14.978000,2025-07-23 21:15:14.978000,,1,1,
16,yc2ke47c1dcltfruzutvsxse,Ridgeline,2025-07-23 21:15:14.978000,2025-07-23 21:15:14.978000,2025-07-23 21:15:14.986000,1,1,
17,sqzsxg6z3ls68cpyfqchha7i,Alpine,2025-07-23 21:16:00.251000,2025-07-23 21:16:00.251000,,1,1,
18,sqzsxg6z3ls68cpyfqchha7i,Alpine,2025-07-23 21:16:00.251000,2025-07-23 21:16:00.251000,2025-07-23 21:16:00.264000,1,1,
19,zbx3x53b1108qja909v8qizz,Grassland ,2025-07-23 21:16:08.069000,2025-07-23 21:16:08.069000,,1,1,
20,zbx3x53b1108qja909v8qizz,Grassland ,2025-07-23 21:16:08.069000,2025-07-23 21:16:08.069000,2025-07-23 21:16:08.079000,1,1,
21,ee82evcii12mi1uz0ibgklmw,Lakes,2025-07-23 21:16:17.918000,2025-07-23 21:16:17.918000,,1,1,
22,ee82evcii12mi1uz0ibgklmw,Lakes,2025-07-23 21:16:17.918000,2025-07-23 21:16:17.918000,2025-07-23 21:16:17.935000,1,1,
23,lfv4ycf17inijuu1ictvzscl,Waterfall,2025-07-23 21:16:22.224000,2025-07-23 21:16:22.224000,,1,1,
24,lfv4ycf17inijuu1ictvzscl,Waterfall,2025-07-23 21:16:22.224000,2025-07-23 21:16:22.224000,2025-07-23 21:16:22.232000,1,1,
25,dnlq8ydehbckg3ltnxs1gadm,Hot Springs,2025-07-23 21:16:27.108000,2025-07-23 21:16:27.108000,,1,1,
26,dnlq8ydehbckg3ltnxs1gadm,Hot Springs,2025-07-23 21:16:27.108000,2025-07-23 21:16:27.108000,2025-07-23 21:16:27.118000,1,1,
27,t9jt2vl4y0fuf92buh9mwmb4,River Valley,2025-07-23 21:16:31.554000,2025-07-23 21:16:31.554000,,1,1,
28,t9jt2vl4y0fuf92buh9mwmb4,River Valley,2025-07-23 21:16:31.554000,2025-07-23 21:16:31.554000,2025-07-23 21:16:31.562000,1,1,
29,kt3kki2zkkd8c0apcdv5abe4,Historic Ruins,2025-07-23 21:16:55.902000,2025-07-23 21:16:55.902000,,1,1,
30,kt3kki2zkkd8c0apcdv5abe4,Historic Ruins,2025-07-23 21:16:55.902000,2025-07-23 21:16:55.902000,2025-07-23 21:16:55.913000,1,1,
31,vj7cyl4cpbaw2nghrn6s8p0o,Towns,2025-07-23 21:17:01.820000,2025-07-23 21:17:01.820000,,1,1,
32,vj7cyl4cpbaw2nghrn6s8p0o,Towns,2025-07-23 21:17:01.820000,2025-07-23 21:17:01.820000,2025-07-23 21:17:01.830000,1,1,
33,a6a1phmpsmrj64dr3qsg57u9,Castles,2025-07-23 21:17:07.941000,2025-07-23 21:17:07.941000,,1,1,
34,a6a1phmpsmrj64dr3qsg57u9,Castles,2025-07-23 21:17:07.941000,2025-07-23 21:17:07.941000,2025-07-23 21:17:07.949000,1,1,
35,rwkadxb04omqmty4h4wpevdh,Villages,2025-07-23 21:58:58.746000,2025-07-23 21:58:58.746000,,1,1,
36,rwkadxb04omqmty4h4wpevdh,Villages,2025-07-23 21:58:58.746000,2025-07-23 21:58:58.746000,2025-07-23 21:58:58.755000,1,1,
